2026-03-04 21:46:31,071 - train_greyscale_FA_MoE.py - ckpt_root: output_shift_fa/acdc_wholeheart_uncond_fa_ec_4moe8_greyscale_uvit_mid_4by4_l8r9_low16_Y_bound/ckpts
dataset:
  SNR_scale: 4.0
  Y_bound: !!python/tuple
  - 502.5
  Y_entropy: !!python/tuple
  - 5.883
  - 3.501
  - 3.575
  - 2.418
  - 2.75
  - 2.341
  - 1.479
  - 2.017
  - 2.044
  - 1.453
  - 1.316
  - 1.586
  - 1.365
  - 1.174
  - 1.108
  - 1.0
  Y_max: !!python/tuple
  - 262.0
  - 112.375
  - 125.812
  - 49.0
  - 58.5
  - 46.5
  - 20.344
  - 32.906
  - 33.406
  - 19.953
  - 15.953
  - 22.0
  - 16.984
  - 12.812
  - 11.68
  - 7.461
  Y_mean: !!python/tuple
  - -270.982
  - -0.725
  - 0.44
  - 0.107
  - 0.009
  - 0.154
  - -0.058
  - 0.0
  - -0.008
  - 0.019
  - 0.009
  - -0.012
  - 0.005
  - 0.002
  - 0.004
  - -0.002
  Y_min: !!python/tuple
  - -502.5
  - -119.312
  - -122.375
  - -51.25
  - -58.906
  - -49.5
  - -20.703
  - -32.906
  - -33.094
  - -19.891
  - -15.891
  - -21.75
  - -16.969
  - -12.773
  - -11.648
  - -7.492
  Y_std: !!python/tuple
  - 182.433
  - 32.822
  - 34.997
  - 14.001
  - 17.621
  - 13.189
  - 5.791
  - 9.609
  - 9.805
  - 5.653
  - 4.634
  - 6.503
  - 4.964
  - 3.796
  - 3.44
  - 2.178
  block_sz: 4
  dataset_type: wholeheart
  frequency_aware_tokens: true
  greyscale: true
  low_freqs: 16
  name: acdc_uncond
  num_fa_length: 8
  num_fa_repeats: 9
  num_fa_repeats_x: 3
  num_fa_repeats_y: 3
  path: data/scratch/datasets/ACDC/Unlabeled/Wholeheart
  resolution: 96
  reweight: true
  reweight_dim: -1
  temperature: 0.0
  tokens: 128
  tokenwise_normalization: Y_bound
eval:
  cleanup_samples: true
  eval_start: 400000
  is_batch_size: 32
  lpips_batch_size: 32
  mini_batch_size: 500
  n_samples: 50000
  sample_steps: 100
eval_dir: output/evaluation/FA_EC_l8r9_4by4_low16
lr_scheduler:
  name: customized
  warmup_steps: 5000
mixed_precision: 'no'
name: acdc_wholeheart_uncond_uvit_FA_EC_4MoE8_greyscale_mid_4by4_low16
nnet:
  MoE:
    aux_loss_alpha: 0.0
    depth: 1
    noise_eps: 0.01
    num_experts: 8
    router: topk
    top_k: 4
    type: ecmoe
  depth: 16
  embed_dim: 768
  in_chans: 72
  low_freqs: 16
  mlp_ratio: 4
  mlp_time_embed: true
  name: uvit_greyscale_moe
  num_classes: -1
  num_heads: 12
  qkv_bias: false
  tokens: 128
  use_moe: true
optimizer:
  betas: !!python/tuple
  - 0.99
  - 0.99
  lr: 0.0002
  name: adamw
  weight_decay: 0.03
pred: noise_pred
private:
  accountant: prv
  dp_method: dpsgd
  max_grad_norm: 1.0
  noise_multiplier: 0.5
  secure_mode: false
  target_delta: 1.0e-05
  target_epsilon: 10
  use_dp: false
sample:
  algorithm: euler_maruyama_ode
  mini_batch_size: 500
  n_samples: 50000
  path: data/scratch/samples
  sample_steps: 100
  save_npz: ''
  save_start: 20000
sample_dir: output_shift_fa/acdc_wholeheart_uncond_fa_ec_4moe8_greyscale_uvit_mid_4by4_l8r9_low16_Y_bound/samples
seed: 1234
train:
  batch_size: 512
  eval_interval: 25000
  log_interval: 100
  mode: uncond
  n_steps: 500000
  save_interval: 25000
workdir: output_shift_fa/acdc_wholeheart_uncond_fa_ec_4moe8_greyscale_uvit_mid_4by4_l8r9_low16_Y_bound

2026-03-04 21:47:37,389 - train_greyscale_FA_MoE.py - dataset samples: 25022
2026-03-04 21:47:37,390 - train_greyscale_FA_MoE.py - Using Y_bound for positional token normalization
2026-03-04 21:47:47,083 - utils.py - nnet has 200958792 parameters
2026-03-04 21:47:47,998 - train_greyscale_FA_MoE.py - using [5.883 3.501 3.575 2.418 2.75  2.341 1.479 2.017 2.044 1.453 1.316 1.586
 1.365 1.174 1.108 1.   ] for loss reweighting
2026-03-04 21:47:47,999 - train_greyscale_FA_MoE.py - Using temperature 0.0 for loss reweighting
2026-03-04 21:47:48,207 - train_greyscale_FA_MoE.py - Start fitting, step=0, mixed_precision=no
2026-03-04 21:53:50,157 - train_greyscale_FA_MoE.py - {'step': '100', 'lr': '4e-06', 'total_loss': '0.911359', 'main_loss': '0.911359', 'time_per_step': '2.62731'}
2026-03-04 21:58:21,797 - train_greyscale_FA_MoE.py - {'step': '200', 'lr': '8e-06', 'total_loss': '0.507791', 'main_loss': '0.507791', 'time_per_step': '2.64435'}
2026-03-04 22:02:53,021 - train_greyscale_FA_MoE.py - {'step': '300', 'lr': '1.2e-05', 'total_loss': '0.229465', 'main_loss': '0.229465', 'time_per_step': '2.63096'}
2026-03-04 22:07:24,251 - train_greyscale_FA_MoE.py - {'step': '400', 'lr': '1.6e-05', 'total_loss': '0.145452', 'main_loss': '0.145452', 'time_per_step': '2.59722'}
2026-03-04 22:11:55,425 - train_greyscale_FA_MoE.py - {'step': '500', 'lr': '2e-05', 'total_loss': '0.107968', 'main_loss': '0.107968', 'time_per_step': '2.626'}
2026-03-04 22:16:26,613 - train_greyscale_FA_MoE.py - {'step': '600', 'lr': '2.4e-05', 'total_loss': '0.0837559', 'main_loss': '0.0837559', 'time_per_step': '2.69447'}
2026-03-04 22:20:58,211 - train_greyscale_FA_MoE.py - {'step': '700', 'lr': '2.8e-05', 'total_loss': '0.0769877', 'main_loss': '0.0769877', 'time_per_step': '2.71339'}
2026-03-04 22:25:32,000 - train_greyscale_FA_MoE.py - {'step': '800', 'lr': '3.2e-05', 'total_loss': '0.0594308', 'main_loss': '0.0594308', 'time_per_step': '2.65209'}
2026-03-04 22:30:05,324 - train_greyscale_FA_MoE.py - {'step': '900', 'lr': '3.6e-05', 'total_loss': '0.0700379', 'main_loss': '0.0700379', 'time_per_step': '2.67398'}
2026-03-04 22:34:38,396 - train_greyscale_FA_MoE.py - {'step': '1000', 'lr': '4e-05', 'total_loss': '0.0509218', 'main_loss': '0.0509218', 'time_per_step': '2.65389'}
2026-03-04 22:39:12,857 - train_greyscale_FA_MoE.py - {'step': '1100', 'lr': '4.4e-05', 'total_loss': '0.0515084', 'main_loss': '0.0515084', 'time_per_step': '2.54319'}
2026-03-04 22:43:46,433 - train_greyscale_FA_MoE.py - {'step': '1200', 'lr': '4.8e-05', 'total_loss': '0.0512879', 'main_loss': '0.0512879', 'time_per_step': '2.54031'}
2026-03-04 22:48:20,398 - train_greyscale_FA_MoE.py - {'step': '1300', 'lr': '5.2e-05', 'total_loss': '0.0484313', 'main_loss': '0.0484313', 'time_per_step': '2.69645'}
2026-03-04 22:52:53,183 - train_greyscale_FA_MoE.py - {'step': '1400', 'lr': '5.6e-05', 'total_loss': '0.0486175', 'main_loss': '0.0486175', 'time_per_step': '2.66053'}
2026-03-04 22:57:26,323 - train_greyscale_FA_MoE.py - {'step': '1500', 'lr': '6e-05', 'total_loss': '0.0410377', 'main_loss': '0.0410377', 'time_per_step': '2.71787'}
2026-03-04 23:01:58,851 - train_greyscale_FA_MoE.py - {'step': '1600', 'lr': '6.4e-05', 'total_loss': '0.0384767', 'main_loss': '0.0384767', 'time_per_step': '2.6683'}
2026-03-04 23:06:30,716 - train_greyscale_FA_MoE.py - {'step': '1700', 'lr': '6.8e-05', 'total_loss': '0.0447841', 'main_loss': '0.0447841', 'time_per_step': '2.67106'}
2026-03-04 23:11:04,299 - train_greyscale_FA_MoE.py - {'step': '1800', 'lr': '7.2e-05', 'total_loss': '0.0505775', 'main_loss': '0.0505775', 'time_per_step': '2.66858'}
2026-03-04 23:15:39,215 - train_greyscale_FA_MoE.py - {'step': '1900', 'lr': '7.6e-05', 'total_loss': '0.0470948', 'main_loss': '0.0470948', 'time_per_step': '2.65412'}
2026-03-04 23:20:12,496 - train_greyscale_FA_MoE.py - {'step': '2000', 'lr': '8e-05', 'total_loss': '0.0456494', 'main_loss': '0.0456494', 'time_per_step': '2.65765'}
2026-03-04 23:24:45,973 - train_greyscale_FA_MoE.py - {'step': '2100', 'lr': '8.4e-05', 'total_loss': '0.0436315', 'main_loss': '0.0436315', 'time_per_step': '2.69959'}
2026-03-04 23:29:18,482 - train_greyscale_FA_MoE.py - {'step': '2200', 'lr': '8.8e-05', 'total_loss': '0.0473612', 'main_loss': '0.0473612', 'time_per_step': '2.65025'}
2026-03-04 23:33:52,203 - train_greyscale_FA_MoE.py - {'step': '2300', 'lr': '9.2e-05', 'total_loss': '0.0427632', 'main_loss': '0.0427632', 'time_per_step': '2.54215'}
2026-03-04 23:38:25,737 - train_greyscale_FA_MoE.py - {'step': '2400', 'lr': '9.6e-05', 'total_loss': '0.0348495', 'main_loss': '0.0348495', 'time_per_step': '2.5402'}
2026-03-04 23:42:59,768 - train_greyscale_FA_MoE.py - {'step': '2500', 'lr': '0.0001', 'total_loss': '0.0487327', 'main_loss': '0.0487327', 'time_per_step': '2.67364'}
2026-03-04 23:47:33,012 - train_greyscale_FA_MoE.py - {'step': '2600', 'lr': '0.000104', 'total_loss': '0.0407841', 'main_loss': '0.0407841', 'time_per_step': '2.67784'}
2026-03-04 23:52:05,765 - train_greyscale_FA_MoE.py - {'step': '2700', 'lr': '0.000108', 'total_loss': '0.0465485', 'main_loss': '0.0465485', 'time_per_step': '2.67347'}
2026-03-04 23:56:39,272 - train_greyscale_FA_MoE.py - {'step': '2800', 'lr': '0.000112', 'total_loss': '0.0422041', 'main_loss': '0.0422041', 'time_per_step': '2.66974'}
2026-03-05 00:01:12,987 - train_greyscale_FA_MoE.py - {'step': '2900', 'lr': '0.000116', 'total_loss': '0.0386511', 'main_loss': '0.0386511', 'time_per_step': '2.62949'}
2026-03-05 00:05:46,148 - train_greyscale_FA_MoE.py - {'step': '3000', 'lr': '0.00012', 'total_loss': '0.0438911', 'main_loss': '0.0438911', 'time_per_step': '2.65699'}
2026-03-05 00:10:19,308 - train_greyscale_FA_MoE.py - {'step': '3100', 'lr': '0.000124', 'total_loss': '0.0428939', 'main_loss': '0.0428939', 'time_per_step': '2.67078'}
2026-03-05 00:14:52,235 - train_greyscale_FA_MoE.py - {'step': '3200', 'lr': '0.000128', 'total_loss': '0.0420291', 'main_loss': '0.0420291', 'time_per_step': '2.66605'}
2026-03-05 00:19:25,007 - train_greyscale_FA_MoE.py - {'step': '3300', 'lr': '0.000132', 'total_loss': '0.0369941', 'main_loss': '0.0369941', 'time_per_step': '2.66152'}
