2025-11-26 14:44:06,922 - train_greyscale_MoE.py - ckpt_root: output_shift/echonet_dynamic_uncond_MoE6_greyscale_uvit_mid_4by4_Y_bound/ckpts
dataset:
  SNR_scale: 4.0
  Y_bound: !!python/tuple
  - 512.0
  Y_entropy: !!python/tuple
  - 5.419
  - 2.769
  - 2.659
  - 1.88
  - 2.022
  - 1.575
  - 1.018
  - 1.338
  - 1.593
  - 1.484
  - 1.309
  - 1.163
  - 0.928
  - 0.925
  - 1.051
  - 0.852
  Y_max: !!python/tuple
  - 148.0
  - 107.812
  - 89.625
  - 47.0
  - 56.938
  - 34.0
  - 14.758
  - 29.281
  - 38.125
  - 35.156
  - 27.938
  - 22.0
  - 12.641
  - 12.125
  - 18.391
  - 11.641
  Y_mean: !!python/tuple
  - -390.081
  - 0.103
  - -0.947
  - 0.171
  - 0.192
  - 0.203
  - 0.001
  - 0.061
  - 0.233
  - -0.075
  - -0.051
  - -0.199
  - -0.046
  - -0.076
  - -0.042
  - 0.029
  Y_min: !!python/tuple
  - -512.0
  - -108.688
  - -112.5
  - -52.5
  - -55.75
  - -36.75
  - -14.586
  - -27.062
  - -37.156
  - -36.156
  - -28.484
  - -27.75
  - -13.672
  - -14.266
  - -19.562
  - -10.367
  Y_std: !!python/tuple
  - 163.706
  - 28.348
  - 26.485
  - 11.872
  - 13.871
  - 8.085
  - 2.919
  - 6.039
  - 8.605
  - 7.49
  - 5.683
  - 4.875
  - 2.372
  - 2.172
  - 3.337
  - 1.668
  block_sz: 4
  cache: true
  cache_name: cached_echonet_dynamic_4by4_4Y
  dataset_type: dynamic
  greyscale: true
  low_freqs: 12
  name: echonet
  path: data/scratch/datasets/EchoNet-Dynamic
  resolution: 112
  reweight: true
  reweight_dim: 1
  tempature: 1.0
  tokens: 196
eval:
  cleanup_samples: true
  eval_start: 110000
  is_batch_size: 32
  lpips_batch_size: 32
  mini_batch_size: 500
  n_samples: 50000
  sample_steps: 100
eval_dir: output/evaluation/echonet_uncond_4by4_low16_new
lr_scheduler:
  name: customized
  warmup_steps: 5000
mixed_precision: 'no'
name: echonet_dynamic_uncond_uvit_greyscale_mid_4by4
nnet:
  MoE:
    aux_loss_alpha: 0.001
    depth: 1
    noise_eps: 0.01
    num_experts: 6
    router: topk
    top_k: 2
    type: normal
  depth: 16
  embed_dim: 768
  low_freqs: 12
  mlp_ratio: 4
  mlp_time_embed: true
  name: uvit_greyscale_moe
  num_classes: -1
  num_heads: 12
  qkv_bias: false
  tokens: 196
  use_moe: true
optimizer:
  betas: !!python/tuple
  - 0.99
  - 0.99
  lr: 0.0002
  name: adamw
  weight_decay: 0.03
pred: noise_pred
private:
  accountant: prv
  dp_method: dpsgd
  max_grad_norm: 1.0
  noise_multiplier: 0.5
  secure_mode: false
  target_delta: 1.0e-05
  target_epsilon: 10
  use_dp: false
sample:
  algorithm: euler_maruyama_ode
  mini_batch_size: 500
  n_samples: 50000
  path: data/scratch/samples
  sample_steps: 100
  save_npz: ''
  save_start: 10000
sample_dir: output_shift/echonet_dynamic_uncond_MoE6_greyscale_uvit_mid_4by4_Y_bound/samples
seed: 1234
train:
  batch_size: 512
  eval_interval: 25000
  log_interval: 100
  mode: uncond
  n_steps: 500000
  save_interval: 25000
workdir: output_shift/echonet_dynamic_uncond_MoE6_greyscale_uvit_mid_4by4_Y_bound

2025-11-26 14:44:09,281 - train_greyscale_MoE.py - dataset samples: 358259
2025-11-26 14:44:19,192 - utils.py - nnet has 182081328 parameters
2025-11-26 14:44:20,028 - train_greyscale_MoE.py - using [5.419 2.769 2.659 1.88  2.022 1.575 1.018 1.338 1.593 1.484 1.309 1.163
 0.928 0.925 1.051 0.852] for Y_loss reweighting
2025-11-26 14:44:20,135 - train_greyscale_MoE.py - Using temperature 1.0 for loss reweighting
2025-11-26 14:44:20,450 - train_greyscale_MoE.py - Start fitting, step=0, mixed_precision=no
2025-11-26 14:49:54,658 - train_greyscale_MoE.py - {'step': '100', 'lr': '4e-06', 'total_loss': '0.569996', 'main_loss': '0.565144', 'aux_loss': '4.85199', 'time_per_step': '3.16545'}
2025-11-26 14:55:07,806 - train_greyscale_MoE.py - {'step': '200', 'lr': '8e-06', 'total_loss': '0.380955', 'main_loss': '0.37607', 'aux_loss': '4.88482', 'time_per_step': '2.9134'}
2025-11-26 15:00:22,775 - train_greyscale_MoE.py - {'step': '300', 'lr': '1.2e-05', 'total_loss': '0.341167', 'main_loss': '0.336554', 'aux_loss': '4.61293', 'time_per_step': '2.89777'}
2025-11-26 15:05:37,370 - train_greyscale_MoE.py - {'step': '400', 'lr': '1.6e-05', 'total_loss': '0.238212', 'main_loss': '0.233493', 'aux_loss': '4.71925', 'time_per_step': '2.96582'}
2025-11-26 15:10:52,868 - train_greyscale_MoE.py - {'step': '500', 'lr': '2e-05', 'total_loss': '0.191923', 'main_loss': '0.187263', 'aux_loss': '4.65981', 'time_per_step': '2.89517'}
2025-11-26 15:16:08,585 - train_greyscale_MoE.py - {'step': '600', 'lr': '2.4e-05', 'total_loss': '0.142052', 'main_loss': '0.137454', 'aux_loss': '4.59795', 'time_per_step': '2.90246'}
2025-11-26 15:21:25,258 - train_greyscale_MoE.py - {'step': '700', 'lr': '2.8e-05', 'total_loss': '0.141407', 'main_loss': '0.136916', 'aux_loss': '4.49116', 'time_per_step': '2.90729'}
2025-11-26 15:26:33,336 - train_greyscale_MoE.py - {'step': '800', 'lr': '3.2e-05', 'total_loss': '0.114727', 'main_loss': '0.110487', 'aux_loss': '4.23974', 'time_per_step': '2.97471'}
2025-11-26 15:31:43,654 - train_greyscale_MoE.py - {'step': '900', 'lr': '3.6e-05', 'total_loss': '0.102509', 'main_loss': '0.0984125', 'aux_loss': '4.09653', 'time_per_step': '2.9058'}
2025-11-26 15:36:55,610 - train_greyscale_MoE.py - {'step': '1000', 'lr': '4e-05', 'total_loss': '0.102391', 'main_loss': '0.0983555', 'aux_loss': '4.03523', 'time_per_step': '2.90077'}
2025-11-26 15:42:10,131 - train_greyscale_MoE.py - {'step': '1100', 'lr': '4.4e-05', 'total_loss': '0.0917055', 'main_loss': '0.0877031', 'aux_loss': '4.00246', 'time_per_step': '2.9141'}
2025-11-26 15:47:25,024 - train_greyscale_MoE.py - {'step': '1200', 'lr': '4.8e-05', 'total_loss': '0.0909957', 'main_loss': '0.0870006', 'aux_loss': '3.99506', 'time_per_step': '2.9517'}
2025-11-26 15:52:39,946 - train_greyscale_MoE.py - {'step': '1300', 'lr': '5.2e-05', 'total_loss': '0.0901687', 'main_loss': '0.0861716', 'aux_loss': '3.99708', 'time_per_step': '2.89634'}
2025-11-26 15:57:57,485 - train_greyscale_MoE.py - {'step': '1400', 'lr': '5.6e-05', 'total_loss': '0.0774856', 'main_loss': '0.0734911', 'aux_loss': '3.99452', 'time_per_step': '2.88531'}
2025-11-26 16:03:05,032 - train_greyscale_MoE.py - {'step': '1500', 'lr': '6e-05', 'total_loss': '0.10083', 'main_loss': '0.0968171', 'aux_loss': '4.01302', 'time_per_step': '2.90312'}
2025-11-26 16:08:15,163 - train_greyscale_MoE.py - {'step': '1600', 'lr': '6.4e-05', 'total_loss': '0.0933976', 'main_loss': '0.0893799', 'aux_loss': '4.01773', 'time_per_step': '2.9003'}
2025-11-26 16:13:28,034 - train_greyscale_MoE.py - {'step': '1700', 'lr': '6.8e-05', 'total_loss': '0.0789285', 'main_loss': '0.0749349', 'aux_loss': '3.99354', 'time_per_step': '2.93949'}
2025-11-26 16:18:43,560 - train_greyscale_MoE.py - {'step': '1800', 'lr': '7.2e-05', 'total_loss': '0.0807504', 'main_loss': '0.0767582', 'aux_loss': '3.99221', 'time_per_step': '3.065'}
2025-11-26 16:23:58,409 - train_greyscale_MoE.py - {'step': '1900', 'lr': '7.6e-05', 'total_loss': '0.0801749', 'main_loss': '0.0761757', 'aux_loss': '3.99922', 'time_per_step': '2.8867'}
2025-11-26 16:29:13,919 - train_greyscale_MoE.py - {'step': '2000', 'lr': '8e-05', 'total_loss': '0.0788862', 'main_loss': '0.0748944', 'aux_loss': '3.99175', 'time_per_step': '2.9336'}
2025-11-26 16:34:29,664 - train_greyscale_MoE.py - {'step': '2100', 'lr': '8.4e-05', 'total_loss': '0.0763062', 'main_loss': '0.0723038', 'aux_loss': '4.00241', 'time_per_step': '2.9224'}
2025-11-26 16:39:36,817 - train_greyscale_MoE.py - {'step': '2200', 'lr': '8.8e-05', 'total_loss': '0.0837703', 'main_loss': '0.0797684', 'aux_loss': '4.0019', 'time_per_step': '2.8985'}
2025-11-26 16:44:47,680 - train_greyscale_MoE.py - {'step': '2300', 'lr': '9.2e-05', 'total_loss': '0.0708412', 'main_loss': '0.066846', 'aux_loss': '3.99518', 'time_per_step': '2.93855'}
2025-11-26 16:50:00,436 - train_greyscale_MoE.py - {'step': '2400', 'lr': '9.6e-05', 'total_loss': '0.0712223', 'main_loss': '0.0672207', 'aux_loss': '4.0016', 'time_per_step': '2.90129'}
2025-11-26 16:55:13,874 - train_greyscale_MoE.py - {'step': '2500', 'lr': '0.0001', 'total_loss': '0.0638946', 'main_loss': '0.059894', 'aux_loss': '4.00057', 'time_per_step': '2.91786'}
2025-11-26 17:00:29,802 - train_greyscale_MoE.py - {'step': '2600', 'lr': '0.000104', 'total_loss': '0.0632353', 'main_loss': '0.059241', 'aux_loss': '3.99429', 'time_per_step': '2.90301'}
2025-11-26 17:05:46,574 - train_greyscale_MoE.py - {'step': '2700', 'lr': '0.000108', 'total_loss': '0.0632031', 'main_loss': '0.0592066', 'aux_loss': '3.9965', 'time_per_step': '2.91348'}
2025-11-26 17:11:03,520 - train_greyscale_MoE.py - {'step': '2800', 'lr': '0.000112', 'total_loss': '0.0610004', 'main_loss': '0.0570163', 'aux_loss': '3.98406', 'time_per_step': '3.00934'}
2025-11-26 17:16:10,733 - train_greyscale_MoE.py - {'step': '2900', 'lr': '0.000116', 'total_loss': '0.0652322', 'main_loss': '0.0612372', 'aux_loss': '3.99501', 'time_per_step': '3.0558'}
2025-11-26 17:21:21,912 - train_greyscale_MoE.py - {'step': '3000', 'lr': '0.00012', 'total_loss': '0.0522201', 'main_loss': '0.048219', 'aux_loss': '4.00107', 'time_per_step': '2.91444'}
2025-11-26 17:26:36,432 - train_greyscale_MoE.py - {'step': '3100', 'lr': '0.000124', 'total_loss': '0.0551441', 'main_loss': '0.0511606', 'aux_loss': '3.98354', 'time_per_step': '2.9299'}
2025-11-26 17:31:51,962 - train_greyscale_MoE.py - {'step': '3200', 'lr': '0.000128', 'total_loss': '0.0611476', 'main_loss': '0.0571588', 'aux_loss': '3.98873', 'time_per_step': '2.90186'}
